NODE_ID,X,Y,Z,HF_X,HF_Y,HF_Z
    67461.,  0.450000,  0.176090,  0.000000,  0.274497,  1.587948, 26.280579
    67463.,  0.450000,  0.195656,  0.000000,  0.331629,  1.867756, 26.403687
    67465.,  0.450000,  0.215221,  0.000000,  0.405004,  2.190657, 26.548271
    67471.,  0.470000,  0.000000,  0.131250,  0.079117, -0.000145, 25.033880
    67473.,  0.490000,  0.000000,  0.131250,  0.026574, -0.000149, 25.034059
    67475.,  0.510000,  0.000000,  0.131250, -0.026574, -0.000149, 25.034059
    67477.,  0.530000,  0.000000,  0.131250, -0.079117, -0.000145, 25.033880
    67484.,  0.470000,  0.000000,  0.112500,  0.078559, -0.000145, 25.156373
    67486.,  0.490000,  0.000000,  0.112500,  0.026386, -0.000148, 25.156989
    67488.,  0.510000,  0.000000,  0.112500, -0.026386, -0.000148, 25.156989
    67490.,  0.530000,  0.000000,  0.112500, -0.078559, -0.000145, 25.156373
    67497.,  0.470000,  0.000000,  0.093750,  0.077391, -0.000146, 25.277585
    67499.,  0.490000,  0.000000,  0.093750,  0.025994, -0.000147, 25.278636
    67501.,  0.510000,  0.000000,  0.093750, -0.025994, -0.000147, 25.278636
    67503.,  0.530000,  0.000000,  0.093750, -0.077391, -0.000146, 25.277585
    67510.,  0.470000,  0.000000,  0.075000,  0.075620, -0.000145, 25.396591
    67512.,  0.490000,  0.000000,  0.075000,  0.025399, -0.000144, 25.398068
    67514.,  0.510000,  0.000000,  0.075000, -0.025399, -0.000144, 25.398068
    67516.,  0.530000,  0.000000,  0.075000, -0.075620, -0.000145, 25.396591
    67523.,  0.470000,  0.000000,  0.056250,  0.073251, -0.000145, 25.512462
    67525.,  0.490000,  0.000000,  0.056250,  0.024604, -0.000140, 25.514358
    67527.,  0.510000,  0.000000,  0.056250, -0.024604, -0.000140, 25.514358
    67529.,  0.530000,  0.000000,  0.056250, -0.073251, -0.000145, 25.512462
    67536.,  0.470000,  0.000000,  0.037500,  0.070304, -0.000141, 25.624280
    67538.,  0.490000,  0.000000,  0.037500,  0.023616, -0.000135, 25.626581
    67540.,  0.510000,  0.000000,  0.037500, -0.023616, -0.000135, 25.626581
    67542.,  0.530000,  0.000000,  0.037500, -0.070304, -0.000141, 25.624280
    67549.,  0.470000,  0.000000,  0.018750,  0.066808, -0.000131, 25.731143
    67551.,  0.490000,  0.000000,  0.018750,  0.022443, -0.000129, 25.733830
    67553.,  0.510000,  0.000000,  0.018750, -0.022443, -0.000129, 25.733830
    67555.,  0.530000,  0.000000,  0.018750, -0.066808, -0.000131, 25.731143
    67562.,  0.470000,  0.000000,  0.000000,  0.062782, -0.000123, 25.832135
    67564.,  0.490000,  0.000000,  0.000000,  0.021090, -0.000123, 25.835185
    67566.,  0.550000,  0.550000,  0.016667,-12.630569,-12.630453, 37.465060
    67569.,  0.550000,  0.450000,  0.016667,-12.630615, 12.630730, 37.465045
    67572.,  0.550000,  0.490000,  0.000000,-12.856023,  2.144164, 33.223948
    67574.,  0.550000,  0.470000,  0.000000,-12.152048,  6.560742, 32.918946
    67577.,  0.450000,  0.550000,  0.016667, 12.630545,-12.630477, 37.465060
    67580.,  0.510000,  0.550000,  0.000000, -2.144070,-12.855905, 33.223968
    67582.,  0.530000,  0.550000,  0.000000, -6.560626,-12.151917, 32.918973
    67585.,  0.450000,  0.450000,  0.016667, 12.630639, 12.630706, 37.465045
    67588.,  0.450000,  0.490000,  0.000000, 12.856024,  2.144166, 33.223948
    67590.,  0.450000,  0.470000,  0.000000, 12.152050,  6.560745, 32.918945
    67593.,  0.510000,  0.450000,  0.000000, -2.144083, 12.856127, 33.223934
    67595.,  0.530000,  0.450000,  0.000000, -6.560663, 12.152142, 32.918940
    67597.,  0.450000,  1.000000,  0.075000,  0.124106,  0.000128, 25.393682
    67599.,  0.450000,  1.000000,  0.056250,  0.120225,  0.000132, 25.508742
    67601.,  0.450000,  1.000000,  0.037500,  0.115397,  0.000133, 25.619753
    67603.,  0.450000,  1.000000,  0.018750,  0.109658,  0.000125, 25.725853
    67606.,  0.450000,  0.765217,  0.000000,  0.500079, -2.568060, 26.717847
    67608.,  0.450000,  0.745651,  0.000000,  0.624738, -3.015012, 26.916808
    67610.,  0.450000,  0.726085,  0.000000,  0.790513, -3.551500, 27.150884
    67612.,  0.450000,  0.706519,  0.000000,  1.014535, -4.203973, 27.427481
    67614.,  0.450000,  0.686953,  0.000000,  1.322588, -5.006764, 27.756170
    67616.,  0.450000,  0.667387,  0.000000,  1.753600, -6.001977, 28.149763
    67618.,  0.450000,  0.647825,  0.000000,  2.366115, -7.234024, 28.622313
    67620.,  0.450000,  0.628259,  0.000000,  3.244869, -8.730213, 29.201113
    67622.,  0.450000,  0.608693,  0.000000,  4.504350,-10.423719, 29.873598
    67624.,  0.450000,  0.589128,  0.000000,  6.254936,-12.051893, 30.725555
    67626.,  0.450000,  0.569562,  0.000000,  8.436344,-12.539549, 31.617710
    67628.,  0.000000,  1.000000,  0.075000,  0.000013, -0.000012, 25.234678
    67630.,  0.000000,  1.000000,  0.093750,  0.000013, -0.000012, 25.162345
    67632.,  0.000000,  1.000000,  0.112500,  0.000014, -0.000013, 25.088609
